id,WorkChallengesSelect
502,Scaling data science solution up to full database
503,Difficulties in deployment/scoring
503,Need to coordinate with IT
504,Dirty data
504,Limitations of tools
504,Need to coordinate with IT
504,Unavailability of/difficult access to data
505,Data Science results not used by business decision makers
505,Explaining data science to others
505,Lack of funds to buy useful datasets from external sources
505,Limitations of tools
505,Maintaining responsible expectations about the potential impact of data science projects
505,Privacy issues
505,The lack of a clear question to be answering or a clear direction to go in with the available data
505,Unavailability of/difficult access to data
506,Company politics / Lack of management/financial support for a data science team
506,Dirty data
506,Lack of data science talent in the organization
506,Limitations of tools
506,Privacy issues
506,Unavailability of/difficult access to data
507,Unavailability of/difficult access to data
508,Data Science results not used by business decision makers
508,Lack of data science talent in the organization
509,Dirty data
509,Lack of funds to buy useful datasets from external sources
509,Privacy issues
509,Scaling data science solution up to full database
509,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
509,Unavailability of/difficult access to data
510,Company politics / Lack of management/financial support for a data science team
510,Data Science results not used by business decision makers
510,Dirty data
510,Inability to integrate findings into organization's decision-making process
510,Lack of data science talent in the organization
510,Organization is small and cannot afford a data science team
510,The lack of a clear question to be answering or a clear direction to go in with the available data
511,NA
512,Company politics / Lack of management/financial support for a data science team
512,Did not instrument data useful for scientific analysis and decision-making
512,Dirty data
512,Explaining data science to others
512,Lack of data science talent in the organization
512,Limitations of tools
512,Maintaining responsible expectations about the potential impact of data science projects
512,Need to coordinate with IT
512,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
512,Unavailability of/difficult access to data
512,Other
513,Lack of data science talent in the organization
513,Privacy issues
513,Unavailability of/difficult access to data
514,Lack of data science talent in the organization
514,Lack of funds to buy useful datasets from external sources
515,Dirty data
515,Limitations in the state of the art in machine learning
515,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
515,The lack of a clear question to be answering or a clear direction to go in with the available data
516,Dirty data
516,Maintaining responsible expectations about the potential impact of data science projects
516,Need to coordinate with IT
517,Data Science results not used by business decision makers
517,Dirty data
517,Inability to integrate findings into organization's decision-making process
517,Maintaining responsible expectations about the potential impact of data science projects
517,Organization is small and cannot afford a data science team
517,The lack of a clear question to be answering or a clear direction to go in with the available data
518,Difficulties in deployment/scoring
518,Dirty data
518,Inability to integrate findings into organization's decision-making process
518,Maintaining responsible expectations about the potential impact of data science projects
518,Privacy issues
518,The lack of a clear question to be answering or a clear direction to go in with the available data
518,Unavailability of/difficult access to data
519,Company politics / Lack of management/financial support for a data science team
520,Company politics / Lack of management/financial support for a data science team
520,Data Science results not used by business decision makers
520,Dirty data
520,Explaining data science to others
520,Lack of data science talent in the organization
520,Organization is small and cannot afford a data science team
520,The lack of a clear question to be answering or a clear direction to go in with the available data
521,Company politics / Lack of management/financial support for a data science team
521,Lack of data science talent in the organization
522,I prefer not to say
523,Company politics / Lack of management/financial support for a data science team
523,Dirty data
523,Lack of data science talent in the organization
523,Organization is small and cannot afford a data science team
523,Scaling data science solution up to full database
523,The lack of a clear question to be answering or a clear direction to go in with the available data
524,Data Science results not used by business decision makers
524,Dirty data
524,Inability to integrate findings into organization's decision-making process
524,Unavailability of/difficult access to data
525,Dirty data
525,Explaining data science to others
526,Dirty data
527,Company politics / Lack of management/financial support for a data science team
527,Difficulties in deployment/scoring
527,Explaining data science to others
527,Lack of data science talent in the organization
527,Lack of funds to buy useful datasets from external sources
527,Lack of significant domain expert input
528,Company politics / Lack of management/financial support for a data science team
528,Data Science results not used by business decision makers
528,Did not instrument data useful for scientific analysis and decision-making
528,Dirty data
528,Explaining data science to others
528,Inability to integrate findings into organization's decision-making process
528,Lack of data science talent in the organization
528,Maintaining responsible expectations about the potential impact of data science projects
528,Privacy issues
528,The lack of a clear question to be answering or a clear direction to go in with the available data
528,Unavailability of/difficult access to data
529,Dirty data
529,Lack of data science talent in the organization
529,Lack of significant domain expert input
529,Limitations in the state of the art in machine learning
530,Company politics / Lack of management/financial support for a data science team
530,Data Science results not used by business decision makers
530,Did not instrument data useful for scientific analysis and decision-making
530,Dirty data
530,Explaining data science to others
530,Inability to integrate findings into organization's decision-making process
530,Lack of data science talent in the organization
530,Limitations of tools
530,Need to coordinate with IT
530,Organization is small and cannot afford a data science team
530,The lack of a clear question to be answering or a clear direction to go in with the available data
530,Unavailability of/difficult access to data
531,Dirty data
531,Limitations of tools
531,Privacy issues
532,Dirty data
532,Explaining data science to others
532,Organization is small and cannot afford a data science team
532,Unavailability of/difficult access to data
533,Company politics / Lack of management/financial support for a data science team
533,Lack of data science talent in the organization
533,Lack of significant domain expert input
533,Privacy issues
534,Lack of funds to buy useful datasets from external sources
535,Company politics / Lack of management/financial support for a data science team
535,Unavailability of/difficult access to data
536,Need to coordinate with IT
536,The lack of a clear question to be answering or a clear direction to go in with the available data
536,Unavailability of/difficult access to data
537,Data Science results not used by business decision makers
537,Dirty data
537,Lack of funds to buy useful datasets from external sources
537,Organization is small and cannot afford a data science team
538,Dirty data
538,Inability to integrate findings into organization's decision-making process
538,Lack of data science talent in the organization
538,Lack of funds to buy useful datasets from external sources
538,Lack of significant domain expert input
538,Maintaining responsible expectations about the potential impact of data science projects
538,Scaling data science solution up to full database
538,Unavailability of/difficult access to data
539,Company politics / Lack of management/financial support for a data science team
539,Data Science results not used by business decision makers
539,Dirty data
539,Lack of data science talent in the organization
539,Lack of funds to buy useful datasets from external sources
539,Organization is small and cannot afford a data science team
539,Privacy issues
539,The lack of a clear question to be answering or a clear direction to go in with the available data
539,Unavailability of/difficult access to data
540,Dirty data
540,Lack of funds to buy useful datasets from external sources
540,Limitations of tools
540,The lack of a clear question to be answering or a clear direction to go in with the available data
541,Dirty data
541,Need to coordinate with IT
542,Dirty data
543,Need to coordinate with IT
543,Privacy issues
543,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
544,Data Science results not used by business decision makers
544,Lack of funds to buy useful datasets from external sources
544,Limitations of tools
544,Need to coordinate with IT
544,Scaling data science solution up to full database
544,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
545,Company politics / Lack of management/financial support for a data science team
545,Dirty data
545,Lack of funds to buy useful datasets from external sources
545,Scaling data science solution up to full database
546,Company politics / Lack of management/financial support for a data science team
546,Data Science results not used by business decision makers
546,Dirty data
546,Inability to integrate findings into organization's decision-making process
546,Lack of significant domain expert input
546,Privacy issues
546,The lack of a clear question to be answering or a clear direction to go in with the available data
547,Company politics / Lack of management/financial support for a data science team
547,Difficulties in deployment/scoring
547,Dirty data
547,Explaining data science to others
547,Organization is small and cannot afford a data science team
547,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
547,The lack of a clear question to be answering or a clear direction to go in with the available data
547,Unavailability of/difficult access to data
548,Company politics / Lack of management/financial support for a data science team
548,Data Science results not used by business decision makers
548,Explaining data science to others
548,Lack of data science talent in the organization
548,Maintaining responsible expectations about the potential impact of data science projects
548,The lack of a clear question to be answering or a clear direction to go in with the available data
549,Company politics / Lack of management/financial support for a data science team
549,Data Science results not used by business decision makers
549,Explaining data science to others
549,Inability to integrate findings into organization's decision-making process
549,Lack of funds to buy useful datasets from external sources
549,Privacy issues
549,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
549,The lack of a clear question to be answering or a clear direction to go in with the available data
549,Unavailability of/difficult access to data
550,Did not instrument data useful for scientific analysis and decision-making
550,Dirty data
550,Explaining data science to others
550,Lack of significant domain expert input
550,Limitations of tools
550,Maintaining responsible expectations about the potential impact of data science projects
550,The lack of a clear question to be answering or a clear direction to go in with the available data
550,Unavailability of/difficult access to data
551,Lack of data science talent in the organization
551,Lack of significant domain expert input
551,The lack of a clear question to be answering or a clear direction to go in with the available data
551,Unavailability of/difficult access to data
552,Data Science results not used by business decision makers
552,Lack of data science talent in the organization
552,Lack of funds to buy useful datasets from external sources
552,The lack of a clear question to be answering or a clear direction to go in with the available data
552,Unavailability of/difficult access to data
553,Other
554,Company politics / Lack of management/financial support for a data science team
555,Company politics / Lack of management/financial support for a data science team
555,Data Science results not used by business decision makers
555,Difficulties in deployment/scoring
555,Dirty data
555,Explaining data science to others
555,Lack of data science talent in the organization
555,Maintaining responsible expectations about the potential impact of data science projects
555,Scaling data science solution up to full database
555,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
556,Data Science results not used by business decision makers
556,Dirty data
556,Lack of significant domain expert input
556,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
557,Data Science results not used by business decision makers
557,Explaining data science to others
557,Lack of data science talent in the organization
557,Limitations in the state of the art in machine learning
557,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
557,The lack of a clear question to be answering or a clear direction to go in with the available data
558,Dirty data
558,Lack of funds to buy useful datasets from external sources
558,Limitations of tools
558,Organization is small and cannot afford a data science team
558,Scaling data science solution up to full database
559,Company politics / Lack of management/financial support for a data science team
559,Lack of data science talent in the organization
559,Lack of significant domain expert input
560,Data Science results not used by business decision makers
560,Did not instrument data useful for scientific analysis and decision-making
560,Need to coordinate with IT
560,Privacy issues
560,Unavailability of/difficult access to data
561,Company politics / Lack of management/financial support for a data science team
561,Dirty data
561,Privacy issues
561,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
561,The lack of a clear question to be answering or a clear direction to go in with the available data
562,I prefer not to say
563,Dirty data
563,Lack of data science talent in the organization
563,Organization is small and cannot afford a data science team
563,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
563,Unavailability of/difficult access to data
564,NA
565,Organization is small and cannot afford a data science team
566,Dirty data
567,Difficulties in deployment/scoring
567,Dirty data
567,Lack of significant domain expert input
567,The lack of a clear question to be answering or a clear direction to go in with the available data
567,Unavailability of/difficult access to data
568,Company politics / Lack of management/financial support for a data science team
568,Dirty data
568,Explaining data science to others
568,Lack of data science talent in the organization
568,Maintaining responsible expectations about the potential impact of data science projects
568,Privacy issues
568,The lack of a clear question to be answering or a clear direction to go in with the available data
568,Unavailability of/difficult access to data
569,Need to coordinate with IT
570,I prefer not to say
571,Difficulties in deployment/scoring
571,Dirty data
571,Lack of data science talent in the organization
571,Need to coordinate with IT
572,Company politics / Lack of management/financial support for a data science team
572,Limitations in the state of the art in machine learning
572,Privacy issues
572,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
573,Dirty data
573,Lack of data science talent in the organization
573,Organization is small and cannot afford a data science team
573,The lack of a clear question to be answering or a clear direction to go in with the available data
573,Unavailability of/difficult access to data
574,Company politics / Lack of management/financial support for a data science team
574,Lack of data science talent in the organization
574,Need to coordinate with IT
575,Dirty data
576,Need to coordinate with IT
577,Dirty data
577,Lack of data science talent in the organization
577,Unavailability of/difficult access to data
578,Company politics / Lack of management/financial support for a data science team
578,Dirty data
578,Lack of data science talent in the organization
578,Maintaining responsible expectations about the potential impact of data science projects
578,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
579,Company politics / Lack of management/financial support for a data science team
579,Lack of data science talent in the organization
579,Privacy issues
580,Company politics / Lack of management/financial support for a data science team
580,Difficulties in deployment/scoring
580,Dirty data
580,Inability to integrate findings into organization's decision-making process
580,Limitations of tools
580,Maintaining responsible expectations about the potential impact of data science projects
580,Privacy issues
580,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
580,Unavailability of/difficult access to data
581,Company politics / Lack of management/financial support for a data science team
581,Dirty data
581,Limitations in the state of the art in machine learning
581,Need to coordinate with IT
581,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
581,Unavailability of/difficult access to data
582,Dirty data
582,Limitations in the state of the art in machine learning
583,Limitations in the state of the art in machine learning
584,Company politics / Lack of management/financial support for a data science team
584,Data Science results not used by business decision makers
584,Dirty data
584,Explaining data science to others
584,Inability to integrate findings into organization's decision-making process
584,Need to coordinate with IT
584,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
584,The lack of a clear question to be answering or a clear direction to go in with the available data
585,Lack of data science talent in the organization
585,Lack of significant domain expert input
585,Maintaining responsible expectations about the potential impact of data science projects
585,Privacy issues
585,The lack of a clear question to be answering or a clear direction to go in with the available data
585,Unavailability of/difficult access to data
586,Company politics / Lack of management/financial support for a data science team
586,Difficulties in deployment/scoring
586,Dirty data
586,Lack of significant domain expert input
586,Limitations of tools
586,Organization is small and cannot afford a data science team
586,Scaling data science solution up to full database
586,The lack of a clear question to be answering or a clear direction to go in with the available data
587,Company politics / Lack of management/financial support for a data science team
587,Data Science results not used by business decision makers
587,Difficulties in deployment/scoring
587,Inability to integrate findings into organization's decision-making process
588,Company politics / Lack of management/financial support for a data science team
588,Did not instrument data useful for scientific analysis and decision-making
588,Lack of significant domain expert input
588,Limitations of tools
589,Data Science results not used by business decision makers
590,Company politics / Lack of management/financial support for a data science team
590,Dirty data
590,Explaining data science to others
590,Lack of data science talent in the organization
590,Lack of significant domain expert input
590,Limitations in the state of the art in machine learning
590,Maintaining responsible expectations about the potential impact of data science projects
590,Organization is small and cannot afford a data science team
590,Privacy issues
590,The lack of a clear question to be answering or a clear direction to go in with the available data
591,Dirty data
591,Limitations in the state of the art in machine learning
591,Organization is small and cannot afford a data science team
591,Unavailability of/difficult access to data
592,Dirty data
592,Limitations of tools
592,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
592,The lack of a clear question to be answering or a clear direction to go in with the available data
593,Lack of significant domain expert input
593,Limitations of tools
594,Company politics / Lack of management/financial support for a data science team
594,Lack of data science talent in the organization
595,Dirty data
595,Explaining data science to others
595,Limitations in the state of the art in machine learning
595,Maintaining responsible expectations about the potential impact of data science projects
595,Privacy issues
595,Unavailability of/difficult access to data
596,Explaining data science to others
596,Limitations in the state of the art in machine learning
597,Data Science results not used by business decision makers
597,Lack of funds to buy useful datasets from external sources
597,Need to coordinate with IT
597,Privacy issues
597,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
597,The lack of a clear question to be answering or a clear direction to go in with the available data
598,Company politics / Lack of management/financial support for a data science team
598,Data Science results not used by business decision makers
598,Did not instrument data useful for scientific analysis and decision-making
598,Lack of data science talent in the organization
599,Unavailability of/difficult access to data
600,Did not instrument data useful for scientific analysis and decision-making
600,Difficulties in deployment/scoring
600,Explaining data science to others
600,Lack of funds to buy useful datasets from external sources
600,Maintaining responsible expectations about the potential impact of data science projects
600,Need to coordinate with IT
600,Privacy issues
600,Scaling data science solution up to full database
600,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
601,Company politics / Lack of management/financial support for a data science team
601,Lack of data science talent in the organization
602,Company politics / Lack of management/financial support for a data science team
602,Dirty data
602,Lack of data science talent in the organization
602,Lack of significant domain expert input
602,Maintaining responsible expectations about the potential impact of data science projects
602,Need to coordinate with IT
603,I prefer not to say
604,Lack of data science talent in the organization
604,Organization is small and cannot afford a data science team
605,Dirty data
606,Dirty data
606,Lack of data science talent in the organization
606,Lack of significant domain expert input
606,Privacy issues
606,The lack of a clear question to be answering or a clear direction to go in with the available data
607,Explaining data science to others
607,Lack of data science talent in the organization
607,Privacy issues
607,The lack of a clear question to be answering or a clear direction to go in with the available data
608,Company politics / Lack of management/financial support for a data science team
608,Explaining data science to others
608,Lack of data science talent in the organization
608,Limitations in the state of the art in machine learning
609,Dirty data
609,Lack of significant domain expert input
609,Privacy issues
609,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
609,Unavailability of/difficult access to data
610,Data Science results not used by business decision makers
611,Data Science results not used by business decision makers
611,Dirty data
611,Explaining data science to others
611,Inability to integrate findings into organization's decision-making process
611,Lack of data science talent in the organization
611,Limitations in the state of the art in machine learning
611,Limitations of tools
611,Privacy issues
611,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
611,The lack of a clear question to be answering or a clear direction to go in with the available data
612,Dirty data
612,Lack of data science talent in the organization
612,Lack of funds to buy useful datasets from external sources
613,Company politics / Lack of management/financial support for a data science team
613,Data Science results not used by business decision makers
613,Dirty data
613,Explaining data science to others
613,Inability to integrate findings into organization's decision-making process
613,Lack of data science talent in the organization
613,The lack of a clear question to be answering or a clear direction to go in with the available data
614,Difficulties in deployment/scoring
614,Lack of funds to buy useful datasets from external sources
614,Lack of significant domain expert input
614,Organization is small and cannot afford a data science team
614,Scaling data science solution up to full database
614,The lack of a clear question to be answering or a clear direction to go in with the available data
614,Unavailability of/difficult access to data
615,I prefer not to say
616,Dirty data
616,Explaining data science to others
616,Privacy issues
616,The lack of a clear question to be answering or a clear direction to go in with the available data
616,Unavailability of/difficult access to data
617,I prefer not to say
617,Organization is small and cannot afford a data science team
618,Company politics / Lack of management/financial support for a data science team
618,Dirty data
618,Explaining data science to others
618,Lack of significant domain expert input
618,Privacy issues
618,The lack of a clear question to be answering or a clear direction to go in with the available data
619,Company politics / Lack of management/financial support for a data science team
619,Privacy issues
620,Company politics / Lack of management/financial support for a data science team
620,Dirty data
620,Lack of significant domain expert input
620,Maintaining responsible expectations about the potential impact of data science projects
620,The lack of a clear question to be answering or a clear direction to go in with the available data
621,Company politics / Lack of management/financial support for a data science team
621,Difficulties in deployment/scoring
621,Dirty data
621,Lack of data science talent in the organization
621,Need to coordinate with IT
621,Privacy issues
621,Scaling data science solution up to full database
621,Unavailability of/difficult access to data
622,Data Science results not used by business decision makers
622,Dirty data
622,Lack of data science talent in the organization
622,Lack of funds to buy useful datasets from external sources
622,Lack of significant domain expert input
622,Unavailability of/difficult access to data
623,Difficulties in deployment/scoring
623,Inability to integrate findings into organization's decision-making process
623,Lack of data science talent in the organization
623,Limitations of tools
623,Organization is small and cannot afford a data science team
624,Data Science results not used by business decision makers
624,Dirty data
624,Unavailability of/difficult access to data
625,Data Science results not used by business decision makers
625,Did not instrument data useful for scientific analysis and decision-making
625,Lack of funds to buy useful datasets from external sources
626,Company politics / Lack of management/financial support for a data science team
626,Inability to integrate findings into organization's decision-making process
626,Lack of data science talent in the organization
626,Need to coordinate with IT
627,Data Science results not used by business decision makers
627,Did not instrument data useful for scientific analysis and decision-making
627,Dirty data
627,Lack of data science talent in the organization
627,Maintaining responsible expectations about the potential impact of data science projects
627,Privacy issues
627,Unavailability of/difficult access to data
627,Other
628,Lack of data science talent in the organization
628,Limitations of tools
629,Data Science results not used by business decision makers
629,Did not instrument data useful for scientific analysis and decision-making
629,Dirty data
629,Inability to integrate findings into organization's decision-making process
629,Maintaining responsible expectations about the potential impact of data science projects
629,Privacy issues
629,Unavailability of/difficult access to data
630,Dirty data
631,Dirty data
631,Lack of significant domain expert input
631,Unavailability of/difficult access to data
632,Dirty data
632,Explaining data science to others
633,Company politics / Lack of management/financial support for a data science team
633,Data Science results not used by business decision makers
633,Difficulties in deployment/scoring
633,Dirty data
633,Explaining data science to others
633,Lack of data science talent in the organization
633,Limitations of tools
633,Maintaining responsible expectations about the potential impact of data science projects
633,Need to coordinate with IT
633,Scaling data science solution up to full database
633,The lack of a clear question to be answering or a clear direction to go in with the available data
633,Unavailability of/difficult access to data
634,Company politics / Lack of management/financial support for a data science team
634,Data Science results not used by business decision makers
634,Dirty data
634,Explaining data science to others
634,Inability to integrate findings into organization's decision-making process
634,Lack of data science talent in the organization
634,Limitations of tools
634,Maintaining responsible expectations about the potential impact of data science projects
634,Need to coordinate with IT
634,Organization is small and cannot afford a data science team
634,The lack of a clear question to be answering or a clear direction to go in with the available data
635,Lack of data science talent in the organization
635,Lack of funds to buy useful datasets from external sources
635,Organization is small and cannot afford a data science team
636,Dirty data
636,Limitations in the state of the art in machine learning
637,Company politics / Lack of management/financial support for a data science team
637,Data Science results not used by business decision makers
637,Dirty data
637,Lack of data science talent in the organization
637,Limitations in the state of the art in machine learning
637,Limitations of tools
637,Maintaining responsible expectations about the potential impact of data science projects
637,Organization is small and cannot afford a data science team
637,Privacy issues
637,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
637,The lack of a clear question to be answering or a clear direction to go in with the available data
637,Unavailability of/difficult access to data
638,Dirty data
638,Explaining data science to others
638,Lack of data science talent in the organization
638,Lack of significant domain expert input
638,Limitations in the state of the art in machine learning
638,Limitations of tools
639,Dirty data
639,Explaining data science to others
639,Lack of significant domain expert input
639,Need to coordinate with IT
639,Privacy issues
639,The lack of a clear question to be answering or a clear direction to go in with the available data
639,Unavailability of/difficult access to data
640,Dirty data
640,Lack of data science talent in the organization
640,Limitations in the state of the art in machine learning
640,Privacy issues
640,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
641,Dirty data
641,Lack of significant domain expert input
641,Scaling data science solution up to full database
642,Company politics / Lack of management/financial support for a data science team
642,Lack of data science talent in the organization
642,Maintaining responsible expectations about the potential impact of data science projects
642,Scaling data science solution up to full database
642,The lack of a clear question to be answering or a clear direction to go in with the available data
643,Dirty data
643,Lack of data science talent in the organization
643,Lack of funds to buy useful datasets from external sources
643,Lack of significant domain expert input
643,Limitations in the state of the art in machine learning
643,Limitations of tools
643,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
643,Unavailability of/difficult access to data
644,Company politics / Lack of management/financial support for a data science team
644,Data Science results not used by business decision makers
644,Dirty data
644,Explaining data science to others
644,Lack of data science talent in the organization
644,Limitations in the state of the art in machine learning
644,Privacy issues
644,Unavailability of/difficult access to data
644,Other
645,Data Science results not used by business decision makers
646,Company politics / Lack of management/financial support for a data science team
646,Organization is small and cannot afford a data science team
646,Unavailability of/difficult access to data
647,Company politics / Lack of management/financial support for a data science team
647,Data Science results not used by business decision makers
647,Lack of data science talent in the organization
647,Organization is small and cannot afford a data science team
648,Company politics / Lack of management/financial support for a data science team
648,Data Science results not used by business decision makers
648,Dirty data
648,Inability to integrate findings into organization's decision-making process
648,Scaling data science solution up to full database
649,Company politics / Lack of management/financial support for a data science team
649,Data Science results not used by business decision makers
649,Dirty data
649,Lack of data science talent in the organization
649,Lack of significant domain expert input
649,Limitations of tools
649,Need to coordinate with IT
649,The lack of a clear question to be answering or a clear direction to go in with the available data
649,Unavailability of/difficult access to data
650,Limitations in the state of the art in machine learning
650,The lack of a clear question to be answering or a clear direction to go in with the available data
650,Unavailability of/difficult access to data
651,Dirty data
651,Privacy issues
652,Difficulties in deployment/scoring
652,Dirty data
652,Explaining data science to others
652,Need to coordinate with IT
652,Privacy issues
652,Scaling data science solution up to full database
652,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
652,The lack of a clear question to be answering or a clear direction to go in with the available data
652,Unavailability of/difficult access to data
653,Data Science results not used by business decision makers
653,Dirty data
653,Lack of data science talent in the organization
653,Limitations of tools
654,Company politics / Lack of management/financial support for a data science team
654,Data Science results not used by business decision makers
654,Explaining data science to others
654,Inability to integrate findings into organization's decision-making process
654,Lack of data science talent in the organization
654,The lack of a clear question to be answering or a clear direction to go in with the available data
654,Unavailability of/difficult access to data
655,Dirty data
655,Lack of funds to buy useful datasets from external sources
656,Unavailability of/difficult access to data
657,Dirty data
657,Unavailability of/difficult access to data
658,Dirty data
658,Lack of significant domain expert input
658,Maintaining responsible expectations about the potential impact of data science projects
658,Unavailability of/difficult access to data
659,Company politics / Lack of management/financial support for a data science team
659,Data Science results not used by business decision makers
659,Lack of data science talent in the organization
659,Organization is small and cannot afford a data science team
660,Data Science results not used by business decision makers
660,Difficulties in deployment/scoring
660,Dirty data
660,Lack of data science talent in the organization
660,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
661,Data Science results not used by business decision makers
661,Dirty data
661,Maintaining responsible expectations about the potential impact of data science projects
661,Organization is small and cannot afford a data science team
661,Privacy issues
661,The lack of a clear question to be answering or a clear direction to go in with the available data
661,Unavailability of/difficult access to data
662,Did not instrument data useful for scientific analysis and decision-making
662,Dirty data
662,Lack of funds to buy useful datasets from external sources
663,Company politics / Lack of management/financial support for a data science team
663,Did not instrument data useful for scientific analysis and decision-making
663,Dirty data
663,Explaining data science to others
663,Scaling data science solution up to full database
663,Unavailability of/difficult access to data
663,Other
664,Company politics / Lack of management/financial support for a data science team
664,Data Science results not used by business decision makers
664,Dirty data
664,Lack of data science talent in the organization
664,Privacy issues
664,Unavailability of/difficult access to data
665,Dirty data
666,Company politics / Lack of management/financial support for a data science team
666,Difficulties in deployment/scoring
666,Dirty data
666,Inability to integrate findings into organization's decision-making process
666,Limitations of tools
666,Scaling data science solution up to full database
666,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
666,The lack of a clear question to be answering or a clear direction to go in with the available data
666,Unavailability of/difficult access to data
667,Dirty data
667,Lack of data science talent in the organization
667,Unavailability of/difficult access to data
668,Dirty data
668,Lack of funds to buy useful datasets from external sources
668,Lack of significant domain expert input
668,Organization is small and cannot afford a data science team
669,Lack of data science talent in the organization
670,Dirty data
670,Explaining data science to others
670,Limitations of tools
670,The lack of a clear question to be answering or a clear direction to go in with the available data
670,Unavailability of/difficult access to data
671,NA
672,Did not instrument data useful for scientific analysis and decision-making
672,Dirty data
672,Lack of data science talent in the organization
672,Lack of funds to buy useful datasets from external sources
672,Maintaining responsible expectations about the potential impact of data science projects
672,Need to coordinate with IT
672,Scaling data science solution up to full database
672,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
673,Company politics / Lack of management/financial support for a data science team
673,Dirty data
673,The lack of a clear question to be answering or a clear direction to go in with the available data
674,Lack of funds to buy useful datasets from external sources
674,Scaling data science solution up to full database
675,Company politics / Lack of management/financial support for a data science team
675,Lack of significant domain expert input
675,Organization is small and cannot afford a data science team
676,Company politics / Lack of management/financial support for a data science team
676,Dirty data
676,Lack of data science talent in the organization
676,Lack of significant domain expert input
676,Maintaining responsible expectations about the potential impact of data science projects
677,Company politics / Lack of management/financial support for a data science team
677,Dirty data
677,Privacy issues
677,Scaling data science solution up to full database
677,The lack of a clear question to be answering or a clear direction to go in with the available data
677,Unavailability of/difficult access to data
678,Data Science results not used by business decision makers
678,Did not instrument data useful for scientific analysis and decision-making
678,Dirty data
678,Lack of data science talent in the organization
678,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
678,The lack of a clear question to be answering or a clear direction to go in with the available data
679,Company politics / Lack of management/financial support for a data science team
680,Difficulties in deployment/scoring
680,Limitations in the state of the art in machine learning
680,Limitations of tools
680,Scaling data science solution up to full database
680,The lack of a clear question to be answering or a clear direction to go in with the available data
680,Unavailability of/difficult access to data
681,Company politics / Lack of management/financial support for a data science team
681,Data Science results not used by business decision makers
681,Did not instrument data useful for scientific analysis and decision-making
681,Difficulties in deployment/scoring
681,Dirty data
681,Explaining data science to others
681,Inability to integrate findings into organization's decision-making process
681,Lack of data science talent in the organization
681,Lack of significant domain expert input
681,Maintaining responsible expectations about the potential impact of data science projects
681,Privacy issues
681,Scaling data science solution up to full database
681,The lack of a clear question to be answering or a clear direction to go in with the available data
681,Unavailability of/difficult access to data
682,Company politics / Lack of management/financial support for a data science team
682,Data Science results not used by business decision makers
682,Explaining data science to others
682,Lack of data science talent in the organization
682,Limitations of tools
682,Need to coordinate with IT
683,Company politics / Lack of management/financial support for a data science team
683,Explaining data science to others
683,Lack of funds to buy useful datasets from external sources
683,Limitations in the state of the art in machine learning
683,Scaling data science solution up to full database
683,The lack of a clear question to be answering or a clear direction to go in with the available data
684,Company politics / Lack of management/financial support for a data science team
684,The lack of a clear question to be answering or a clear direction to go in with the available data
685,Company politics / Lack of management/financial support for a data science team
685,Lack of data science talent in the organization
685,Privacy issues
686,NA
687,Company politics / Lack of management/financial support for a data science team
687,Dirty data
687,Lack of data science talent in the organization
687,Lack of funds to buy useful datasets from external sources
687,Lack of significant domain expert input
687,Limitations of tools
687,Unavailability of/difficult access to data
688,Data Science results not used by business decision makers
688,Maintaining responsible expectations about the potential impact of data science projects
688,Privacy issues
688,The lack of a clear question to be answering or a clear direction to go in with the available data
689,Lack of data science talent in the organization
689,Lack of funds to buy useful datasets from external sources
689,Privacy issues
689,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
690,Dirty data
690,Explaining data science to others
690,Lack of data science talent in the organization
690,Unavailability of/difficult access to data
691,Dirty data
